,_id,Month,Country,TotalOperations,TotalOperationsQF,TotalCancelled,TotalCancelledQF,CancelledByPatientReason,CancelledByPatientReasonQF,ClinicalReason,ClinicalReasonQF,NonClinicalCapacityReason,NonClinicalCapacityReasonQF,OtherReason,OtherReasonQF,UnknownReason,UnknownReasonQF
0,1,201505,S92000003,28810,,2695,,1057,,853,,523,,262,,0,
1,2,201506,S92000003,30941,,2800,,1194,,870,,449,,287,,0,
2,3,201507,S92000003,27725,,2642,,1083,,854,,457,,248,,0,
3,4,201508,S92000003,28948,,2630,,1080,,912,,491,,147,,0,
4,5,201509,S92000003,30938,,2829,,1122,,1000,,535,,172,,0,
5,6,201510,S92000003,31487,,3050,,1198,,1075,,582,,195,,0,
6,7,201511,S92000003,31739,,3062,,1265,,1062,,582,,153,,0,
7,8,201512,S92000003,29706,,2921,,1211,,963,,619,,128,,0,
8,9,201601,S92000003,28746,,3197,,1198,,1005,,868,,126,,0,
9,10,201602,S92000003,31177,,3225,,1234,,1087,,762,,142,,0,
10,11,201603,S92000003,32113,,3232,,1310,,1049,,732,,141,,0,
11,12,201604,S92000003,29754,,2807,,1164,,1009,,505,,129,,0,
12,13,201605,S92000003,30924,,2849,,1114,,989,,612,,134,,0,
13,14,201606,S92000003,31785,,3004,,1194,,1037,,605,,168,,0,
14,15,201607,S92000003,26018,,2318,,983,,775,,453,,107,,0,
15,16,201608,S92000003,31215,,2879,,1120,,985,,662,,112,,0,
16,17,201609,S92000003,29574,,2742,,1089,,906,,618,,129,,0,
17,18,201610,S92000003,29298,,2719,,1011,,958,,614,,136,,0,
18,19,201611,S92000003,31730,,2871,,1055,,1043,,665,,108,,0,
19,20,201612,S92000003,27153,,2738,,1084,,920,,644,,90,,0,
20,21,201701,S92000003,27879,,2740,,1025,,928,,704,,83,,0,
21,22,201702,S92000003,27475,,2544,,933,,946,,586,,79,,0,
22,23,201703,S92000003,31796,,2887,,1070,,1105,,620,,92,,0,
23,24,201704,S92000003,24491,,2295,,898,,821,,490,,86,,0,
24,25,201705,S92000003,29997,,2630,,1053,,1000,,512,,65,,0,
